zone,pu_count
Homecrest,3220076
Corona,3537761
Bensonhurst West,3741504
Westerleigh,777031
Newark Airport,18230
Douglaston,668997
Charleston/Tottenville,393457
Pelham Parkway,3503666
Mount Hope,5538541
East Concourse/Concourse Village,5972466
Marble Hill,1151116
Rego Park,2728128
Upper East Side South,9405356
Dyker Heights,1872909
Heartland Village/Todt Hill,1088916
Kew Gardens Hills,1935431
Rikers Island,364
Bayside,2128302
Jackson Heights,8570907
TriBeCa/Civic Center,13051365
Yorkville West,6524070
Highbridge,3976193
Stuy Town/Peter Cooper Village,2701394
Flushing Meadows-Corona Park,695417
Bushwick South,12740805
Riverdale/North Riverdale/Fieldston,2002561
Windsor Terrace,1636456
Old Astoria,3818690
Clinton Hill,6936735
West Concourse,5653116
Ocean Hill,5146733
Stuyvesant Heights,9714302
Freshkills Park,24662
Broad Channel,50323
Upper West Side North,6530840
Mariners Harbor,1360076
Springfield Gardens North,2341658
East Harlem South,7485760
Kensington,2200910
Oakland Gardens,805557
Crown Heights North,16196287
Longwood,2502371
Lenox Hill East,7198547
Hudson Sq,3904823
Flushing,5291915
Norwood,4707118
Upper East Side North,8731694
Columbia Street,644352
UN/Turtle Bay South,6813643
Starrett City,1358613
Prospect Park,717191
East Elmhurst,2427613
Country Club,345234
Long Island City/Hunters Point,8343576
New Dorp/Midland Beach,602409
Whitestone,1345664
Union Sq,12672844
Bedford Park,5366282
Bloomingdale,1747700
Midtown East,9379024
South Jamaica,3511868
Long Island City/Queens Plaza,2903001
Rossville/Woodrow,257414
Downtown Brooklyn/MetroTech,5221164
Glen Oaks,866525
Sunset Park West,5242887
Saint George/New Brighton,2080802
East Flatbush/Remsen Village,6122049
Bath Beach,1209140
Richmond Hill,4637397
East Harlem North,8408316
Canarsie,8546423
Washington Heights South,9082553
Van Cortlandt Village,4406886
Sutton Place/Turtle Bay North,7282819
Sheepshead Bay,3461744
Grymes Hill/Clifton,841269
Governor's Island/Ellis Island/Liberty Island,198
LaGuardia Airport,17866496
Flatlands,5668659
Hunts Point,3467334
Jamaica Estates,1682893
Coney Island,2717401
Parkchester,2884641
Astoria,11126124
City Island,221066
Lower East Side,11839946
Garment District,6649986
Cobble Hill,1677812
Madison,2545198
Erasmus,3596261
East Village,16581704
Carroll Gardens,2751338
Gowanus,2339609
Hillcrest/Pomonok,2394453
Fort Greene,7420811
Lincoln Square East,7978054
Marine Park/Mill Basin,3207701
Eastchester,3070056
Gramercy,9475569
Manhattan Valley,3688707
Briarwood/Jamaica Hills,2544656
Middle Village,2306153
Midtown South,11561147
Mott Haven/Port Morris,6681625
South Williamsburg,1813003
Battery Park City,5290533
Co-Op City,4129977
Cypress Hills,3600987
Glendale,2626369
Sunnyside,6780650
Elmhurst/Maspeth,2283239
Saint Albans,4434018
College Point,1501872
Manhattan Beach,1224667
Queens Village,2950418
Chinatown,2840321
Ridgewood,6766115
Bedford,9960949
Bronxdale,2869605
Melrose South,5045195
Midtown North,9089110
West Brighton,790771
Steinway,5462539
West Village,10917966
Brooklyn Heights,5288453
Claremont/Bathgate,3898949
Baisley Park,3683847
Sunset Park East,2609193
Breezy Point/Fort Tilden/Riis Beach,84988
Bushwick North,9035553
Kips Bay,6984112
Laurelton,1956934
Two Bridges/Seward Park,5452598
Financial District South,2716087
Port Richmond,688796
Astoria Park,40812
Little Italy/NoLiTa,8535411
Cambria Heights,1189600
Roosevelt Island,709815
Jamaica Bay,2418
Great Kills Park,1797
Prospect-Lefferts Gardens,8792371
Midtown Center,12937370
East Flushing,1126388
Marine Park/Floyd Bennett Field,112590
Woodhaven,3534884
World Trade Center,4082981
Greenwich Village South,7490754
Woodside,4674770
East New York/Pennsylvania Avenue,3447618
Lenox Hill West,7883346
Randalls Island,168366
Belmont,3319104
Crotona Park East,2690713
Midwood,3411308
Flatiron,7910803
Alphabet City,4085398
Soundview/Bruckner,2937682
Fresh Meadows,986501
Meatpacking/West Village West,7097839
Ocean Parkway South,1197929
Flatbush/Ditmas Park,9368937
Upper West Side South,7674815
Bay Ridge,5905340
Central Park,1799979
Auburndale,922383
Fordham South,2492229
Bensonhurst East,2836294
Spuyten Duyvil/Kingsbridge,3862666
Maspeth,3119779
Murray Hill-Queens,2092129
Inwood,4111201
University Heights/Morris Heights,5160048
Jamaica,7406757
Bellerose,853726
East New York,12323353
Clinton East,11714198
Great Kills,664126
South Ozone Park,6559519
SoHo,6820499
Pelham Bay,1409787
Queensbridge/Ravenswood,1555364
Schuylerville/Edgewater Park,3441381
Borough Park,5721347
Arrochar/Fort Wadsworth,545532
Manhattanville,2705054
Williamsburg (North Side),11256224
Bay Terrace/Fort Totten,712171
East Williamsburg,9051586
Queensboro Hill,1384498
Penn Station/Madison Sq West,8048654
Hammels/Arverne,1648799
Willets Point,74082
Central Harlem,7653287
Howard Beach,1501302
Lincoln Square West,6069890
West Chelsea/Hudson Yards,11710018
Williamsburg (South Side),9494752
Murray Hill,11059823
Greenwich Village North,7381772
Ozone Park,1778946
Clinton West,7184759
Rosedale,1941333
Battery Park,154487
Gravesend,1549510
Forest Hills,6883859
Allerton/Pelham Gardens,2413944
East Flatbush/Farragut,5026656
Forest Park/Highland Park,151101
Eltingville/Annadale/Prince's Bay,447622
Times Sq/Theatre District,12872239
Brownsville,7219005
East Chelsea,12387057
Westchester Village/Unionport,2738804
Inwood Hill Park,291123
West Farms/Bronx River,2886063
Bronx Park,451505
Brighton Beach,2123905
Red Hook,2116885
Far Rockaway,1994869
Oakwood,345852
Boerum Hill,6279383
Kew Gardens,2316860
Central Harlem North,10789898
Springfield Gardens South,2068718
Arden Heights,293055
Stapleton,1422700
Saint Michaels Cemetery/Woodside,227537
East Tremont,4901204
Rockaway Park,655754
Green-Wood Cemetery,47232
Van Nest/Morris Park,4384356
Highbridge Park,107169
Crotona Park,152121
DUMBO/Vinegar Hill,4129837
Financial District North,7132446
Hamilton Heights,5370487
South Beach/Dongan Hills,822747
Williamsbridge/Olinville,5331633
Prospect Heights,4073576
Outside of NYC,59880
JFK Airport,17695455
Woodlawn/Wakefield,3431957
Brooklyn Navy Yard,916760
Pelham Bay Park,233260
Morrisania/Melrose,4356639
Bloomfield/Emerson Hill,1565980
Seaport,2588978
Park Slope,10783905
Soundview/Castle Hill,5521877
North Corona,2584279
Kingsbridge Heights,3103238
Morningside Heights,5106572
Hollis,1277847
Greenpoint,9532246
Yorkville East,4702619
Washington Heights North,6278050
Crown Heights South,4287523
Elmhurst,7685086
Van Cortlandt Park,674340
N/A,2453
